children,year_last_moved,Average Credit Card Transaction,Balance Transfer,Term Deposit,Life Insurance,Medical Insurance,Average A/C Balance,Personal Loan,Investment in Mutual Fund,Investment Tax Saving Bond,Home Loan,Online Purchase Amount,Investment in Commudity,Investment in Equity,Investment in Derivative,Portfolio Balance,ab_10,ab_11,ab_13,ab_17,ab_9,st_partner,st_singleNm,st_divSep,oc_10,oc_11,oc_12,ocp_10,ocp_12,hs_own,gender_f,semp_yes,semp_part_yes,fi
0,1982,0.0,34.49,0.0,0.0,0.0,38.94,0.0,11.99,0.0,4.5,0.0,6.9,9.24,8.49,14.68,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,35.0
2,1980,0.0,0.0,0.0,0.0,54.95,0.0,0.0,216.88,0.0,0.0,0.0,10.99,36.15,45.31,41.77,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,35.0
0,1979,0.0,79.97,0.0,19.99,0.0,82.39,0.0,20.98,0.0,12.98,0.0,19.99,19.39,20.56,68.11,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,6.0
0,1998,0.0,17.99,62.46,133.93,11.48,0.0,0.0,0.0,4.99,0.0,0.0,45.17,0.83,25.07,129.19,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,16.25
2,1983,15.99,49.98,49.47,14.99,24.27,19.99,0.0,19.48,0.0,0.0,0.0,30.94,6.58,13.12,47.57,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,35.0
0,1993,64.98,0.0,0.0,0.0,49.43,0.0,0.0,0.0,0.0,0.0,0.0,22.88,0.0,8.24,65.61,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,35.0
1,1981,57.38,148.95,86.95,25.96,37.46,47.96,0.0,18.98,9.99,11.48,0.0,71.34,14.74,23.39,151.93,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,18.75
0,1987,32.98,110.41,49.46,153.84,17.98,42.47,0.0,108.31,9.49,38.72,0.0,72.93,33.17,55.35,168.97,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,11.25
0,1991,0.0,0.0,0.01,25.99,8.99,54.98,131.38,74.43,4.99,0.0,12.98,7.0,46.46,50.13,148.08,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,26.25
0,1989,0.0,119.43,0.0,103.46,29.45,9.48,0.0,27.99,2.0,0.0,337.16,50.47,62.77,28.73,86.55,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,9.0
0,1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.98,0.0,0.0,0.0,2.33,2.33,-0.31,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,21.25
0,1966,0.0,0.0,41.48,0.0,0.0,19.97,0.0,13.48,0.0,0.0,0.0,8.3,5.58,5.58,59.8,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6.0
1,1966,0.0,24.99,30.96,4.99,67.43,26.47,0.0,0.0,0.2,0.0,0.0,25.67,4.45,16.52,112.21,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,28.75
0,1979,119.95,0.0,171.82,0.0,46.91,0.0,0.0,0.0,0.0,0.0,0.0,67.74,0.0,7.82,102.81,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,26.25
0,1989,0.0,0.01,35.96,16.98,0.0,39.96,17.98,8.95,0.0,0.0,0.0,10.59,11.15,13.98,49.6,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,16.25
2,1998,0.0,70.45,0.0,69.04,0.0,86.4,46.94,60.94,9.99,50.91,0.0,27.9,42.53,45.55,72.93,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,35.0
1,1984,19.99,0.0,0.0,0.0,46.47,29.99,216.25,51.97,0.0,0.0,0.0,13.29,49.7,57.45,96.76,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,35.0
2,1991,0.0,0.0,0.0,54.95,0.0,7.99,0.0,134.2,0.0,0.0,0.51,10.99,23.78,32.86,59.57,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,35.0
0,1987,23.97,0.0,44.99,0.0,34.48,0.0,0.0,0.0,0.0,0.0,0.0,20.69,0.0,5.75,-18.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,23.75
0,1995,0.0,0.0,29.98,0.0,74.44,0.0,70.95,0.0,2.0,10.48,69.98,20.88,25.57,24.57,100.71,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,26.25
2,1980,0.0,0.0,0.0,65.47,0.02,74.44,191.27,39.45,30.44,25.45,0.0,13.1,60.18,66.85,131.18,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,13.75
1,1996,0.0,0.0,0.0,136.97,0.0,0.0,19.99,283.22,0.0,0.0,0.0,27.39,50.54,73.36,154.65,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,35.0
0,1996,0.0,54.98,0.0,47.48,22.47,24.99,0.0,16.69,13.48,0.0,38.96,24.99,15.69,20.85,75.34,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,23.75
3,1988,9.49,0.0,108.95,45.96,0.0,58.97,0.0,49.42,1.0,4.99,0.0,32.88,19.06,25.89,138.77,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,26.25
0,1976,0.0,0.0,0.0,20.99,0.0,4.99,21.99,54.95,0.0,0.0,0.0,4.2,13.66,17.15,-16.35,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,26.25
2,1984,8.99,93.48,54.48,82.94,35.97,60.46,0.0,42.97,0.0,2.79,0.0,55.17,17.7,37.06,171.47,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,35.0
2,1997,0.0,48.99,0.0,63.47,0.0,36.98,0.0,0.0,0.0,0.0,11.99,22.49,8.16,16.74,-4.33,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,6.0
0,1989,0.0,0.0,0.0,328.34,14.98,14.99,0.0,31.97,1.0,1.99,13.97,68.66,10.65,65.21,154.72,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,21.25
0,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.77,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,28.75
0,1997,65.18,83.95,160.91,349.75,189.33,96.88,397.65,136.36,27.93,26.42,93.42,169.82,129.78,199.65,551.53,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,28.75
0,1996,0.0,0.0,0.0,0.0,0.0,43.46,0.0,59.46,0.0,0.0,0.0,0.0,17.15,17.15,50.13,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,13.75
2,1979,0.0,0.01,0.0,161.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.29,0.0,26.91,20.92,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,28.75
2,1988,0.0,0.0,16.99,116.41,18.96,37.94,52.45,118.92,3.0,0.0,43.97,30.47,42.71,57.95,178.73,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,35.0
0,1985,0.0,0.0,0.0,8.99,0.0,24.99,0.0,25.48,0.0,0.0,0.0,1.8,8.41,9.91,-28.94,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,9.0
0,1994,0.0,107.88,18.94,124.29,0.0,33.94,0.0,75.9,0.0,0.0,188.31,50.22,49.69,39.02,220.42,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,21.25
0,1970,0.0,89.97,0.0,0.0,0.0,48.46,0.0,0.0,0.0,0.0,156.42,17.99,34.15,8.08,86.46,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,18.75
0,1967,69.98,34.99,0.0,104.44,24.49,0.0,0.0,45.96,0.0,0.0,0.0,46.78,7.66,29.15,93.94,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,26.25
0,1998,29.49,98.99,27.49,0.0,29.67,77.95,0.0,98.42,0.0,0.0,25.99,37.13,33.73,34.34,71.11,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,35.0
2,1995,78.42,109.47,72.96,134.9,44.96,24.49,0.0,65.93,10.48,0.0,0.0,88.14,16.82,46.79,140.17,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,26.25
0,1996,0.0,74.99,0.0,0.0,4.49,11.49,0.0,49.45,0.0,9.46,0.0,15.9,11.73,10.91,64.49,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,26.25
3,1994,0.0,63.97,39.99,57.44,0.0,14.49,0.0,8.49,2.48,0.0,0.0,32.28,4.24,13.82,38.19,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,35.0
3,1981,0.0,429.89,0.0,190.41,7.99,59.96,82.43,41.07,0.0,0.0,26.47,125.66,34.99,63.64,207.86,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,35.0
1,1995,18.46,1.53,0.0,70.95,0.0,43.99,25.49,29.48,0.0,7.99,0.0,18.19,17.83,28.32,74.25,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,21.25
1,1981,0.0,305.42,0.0,47.97,0.0,34.99,13.99,19.99,0.0,0.0,0.0,70.68,11.5,19.49,107.3,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,28.75
0,1971,9.99,24.48,0.0,0.0,36.94,19.98,0.0,0.0,0.0,0.0,0.0,14.28,3.33,9.49,0.36,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,11.25
0,1965,7.99,73.97,29.49,27.48,37.98,50.95,0.0,9.99,0.0,0.0,0.0,35.38,10.16,21.07,34.6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,35.0
